date,pm25,pm10,no2,so2,co
2019/10/6, 29, 5, , , 
2019/10/7, 5, 13, , 2, 
2019/10/8, 10, 8, , 1, 
2019/10/9, 9, 49, 7, , 
2019/10/10, 9, 6, 11, 1, 
2019/10/11, 7, 3, 3, 1, 
2019/10/12, 5, 5, 3, , 
2019/10/13, 11, 4, 2, 1, 
2019/10/14, 6, 6, 2, , 
2019/10/15, 6, 11, 16, 3, 
2019/10/16, 10, 26, 25, 2, 
2019/10/17, 24, 24, 25, 2, 
2019/10/18, 19, 8, 18, 2, 
2019/10/19, 12, 81, 6, 2, 
2019/10/20, 9, 11, 11, 1, 
2019/10/21, 10, 9, 8, 1, 
2019/10/22, 10, 9, 6, 1, 
2019/10/23, 10, 18, 5, 1, 
2019/10/24, 18, 13, 7, 2, 
2019/10/25, 13, 29, 21, 1, 
2019/10/26, 16, 18, 34, 2, 
2019/10/27, 18, 13, 37, 2, 
2019/10/28, 14, 9, 16, 2, 
2019/10/29, 17, 7, 15, 1, 
2019/10/30, 9, 10, 22, 2, 
2019/10/31, 7, 15, 17, 2, 
2019/11/1, 15, 20, 12, 1, 
2019/11/2, 14, 23, 8, 2, 
2019/11/3, 17, 14, 19, 2, 
2019/11/4, 19, 6, 16, 1, 
2019/11/5, 8, 5, 11, 1, 
2019/11/6, 6, 6, 10, 1, 
2019/11/7, 10, 6, 3, 1, 
2019/11/8, 10, 5, 6, 1, 
2019/11/9, 7, 7, 2, 1, 
2019/11/10, 10, 7, 12, 1, 
2019/11/11, 10, 5, 9, 1, 
2019/11/12, 8, 39, 33, 3, 
2019/11/13, 25, 22, 32, 2, 
2019/11/14, 18, 14, 19, 2, 
2019/11/15, 24, 11, 14, 1, 
2019/11/16, 22, 7, 16, 2, 
2019/11/17, 13, 3, 2, 1, 
2019/11/18, 7, 4, 4, 1, 
2019/11/19, 4, 7, 6, 1, 
2019/11/20, 11, 4, 4, 1, 
2019/11/21, 6, 9, 16, 1, 
2019/11/22, 12, 23, 21, 2, 
2019/11/23, 20, 33, 42, 3, 
2019/11/24, 16, 18, 54, 5, 
2019/11/25, 19, 16, 51, 4, 
2019/11/26, 16, 16, 47, 4, 
2019/11/27, 16, 16, 44, 3, 
2019/11/28, 20, 12, 35, 2, 
2019/11/29, 22, 10, 25, 2, 
2019/11/30, 12, 5, 13, 1, 
2019/12/1, 6, 4, 4, 1, 
2019/12/2, 5, 16, 12, 1, 
2019/12/3, 30, 11, 19, 2, 
2019/12/4, 19, 19, 58, 5, 
2019/12/5, 18, 14, 38, 2, 
2019/12/6, 17, 6, 3, 1, 
2019/12/7, 8, 10, 18, 2, 
